,country,gdp,fossil_share_energy,renewables_share_energy,nuclear_share_energy,population
100,Afghanistan,16.508834816,,,,20780000.0
101,Afghanistan,15.574844416,,,,21607000.0
102,Afghanistan,25.6768,,,,22601000.0
103,Afghanistan,27.805560832,,,,23681000.0
104,Afghanistan,28.447686656,,,,24727000.0
105,Afghanistan,31.259645952,,,,25654000.0
106,Afghanistan,34.132578304,,,,26433000.0
107,Afghanistan,39.628988416,,,,27101000.0
108,Afghanistan,40.56158208,,,,27722000.0
109,Afghanistan,47.539798016,,,,28395000.0
110,Afghanistan,49.068883968,,,,29186000.0
111,Afghanistan,53.326336,,,,30117000.0
112,Afghanistan,59.166900224,,,,31161000.0
113,Afghanistan,62.993698816,,,,32270000.0
114,Afghanistan,64.346107904,,,,33371000.0
115,Afghanistan,62.783393792,,,,34414000.0
116,Afghanistan,64.297426944,,,,35383000.0
117,Afghanistan,,,,,36296000.0
118,Afghanistan,,,,,37172000.0
119,Afghanistan,,,,,38042000.0
340,Albania,16.39901184,,,,3129000.0
341,Albania,16.951805952,,,,3130000.0
342,Albania,17.037855744,,,,3126000.0
343,Albania,17.847300096,,,,3118000.0
344,Albania,18.592794624,,,,3105000.0
345,Albania,19.69197056,,,,3087000.0
346,Albania,21.411221504,,,,3063000.0
347,Albania,22.995980288,,,,3034000.0
348,Albania,25.764829184,,,,3003000.0
349,Albania,28.006524928,,,,2973000.0
350,Albania,27.897407488,,,,2948000.0
351,Albania,28.451999744,,,,2929000.0
352,Albania,31.114752,,,,2914000.0
353,Albania,30.586345472,,,,2904000.0
354,Albania,32.387278848,,,,2896000.0
355,Albania,33.224144896,,,,2891000.0
356,Albania,34.351540224,,,,2886000.0
357,Albania,,,,,2884000.0
358,Albania,,,,,2883000.0
359,Albania,,,,,2881000.0
460,Algeria,252.0,99.95,0.05,0.0,31042000.0
461,Algeria,252.0,99.939,0.061,0.0,31452000.0
462,Algeria,266.0,99.951,0.049,0.0,31855000.0
463,Algeria,289.0,99.786,0.214,0.0,32264000.0
464,Algeria,308.0,99.806,0.194,0.0,32692000.0
465,Algeria,354.0,99.592,0.408,0.0,33150000.0
466,Algeria,386.0,99.847,0.153,0.0,33641000.0
467,Algeria,398.0,99.85,0.15,0.0,34167000.0
468,Algeria,423.0,99.824,0.176,0.0,34731000.0
469,Algeria,392.0,99.8,0.2,0.0,35334000.0
470,Algeria,448.0,99.891,0.109,0.0,35977000.0
471,Algeria,482.0,99.779,0.221,0.0,36661000.0
472,Algeria,493.0,99.789,0.211,0.0,37384000.0
473,Algeria,493.0,99.939,0.061,0.0,38140000.0
474,Algeria,494.0,99.89,0.11,0.0,38924000.0
475,Algeria,513.0,99.909,0.091,0.0,39728000.0
476,Algeria,534.0,99.863,0.137,0.0,40551000.0
477,Algeria,,99.768,0.232,0.0,41389000.0
478,Algeria,,99.73,0.27,0.0,42228000.0
479,Algeria,,99.727,0.273,0.0,43053000.0
500,American Samoa,,,,,58000.0
501,American Samoa,,,,,58000.0
502,American Samoa,,,,,59000.0
503,American Samoa,,,,,59000.0
504,American Samoa,,,,,60000.0
505,American Samoa,,,,,60000.0
506,American Samoa,,,,,59000.0
507,American Samoa,,,,,58000.0
508,American Samoa,,,,,57000.0
509,American Samoa,,,,,57000.0
510,American Samoa,,,,,56000.0
511,American Samoa,,,,,56000.0
512,American Samoa,,,,,56000.0
513,American Samoa,,,,,56000.0
514,American Samoa,,,,,56000.0
515,American Samoa,,,,,56000.0
516,American Samoa,,,,,56000.0
517,American Samoa,,,,,56000.0
518,American Samoa,,,,,55000.0
519,American Samoa,,,,,55000.0
620,Angola,18.270171136,,,,16395000.0
621,Angola,21.532884992,,,,16946000.0
622,Angola,24.934770688,,,,17519000.0
623,Angola,25.932263424,,,,18121000.0
624,Angola,31.778297856,,,,18758000.0
625,Angola,43.459514368,,,,19434000.0
626,Angola,60.607725568,,,,20150000.0
627,Angola,72.748662784,,,,20905000.0
628,Angola,88.982708224,,,,21696000.0
629,Angola,75.516665856,,,,22514000.0
630,Angola,95.524052992,,,,23356000.0
631,Angola,123.0,,,,24221000.0
632,Angola,128.0,,,,25108000.0
633,Angola,140.0,,,,26016000.0
634,Angola,144.0,,,,26942000.0
635,Angola,148.0,,,,27884000.0
636,Angola,148.0,,,,28842000.0
637,Angola,,,,,29817000.0
638,Angola,,,,,30810000.0
639,Angola,,,,,31825000.0
660,Antigua and Barbuda,,,,,76000.0
661,Antigua and Barbuda,,,,,77000.0
662,Antigua and Barbuda,,,,,78000.0
663,Antigua and Barbuda,,,,,79000.0
664,Antigua and Barbuda,,,,,80000.0
665,Antigua and Barbuda,,,,,81000.0
666,Antigua and Barbuda,,,,,83000.0
667,Antigua and Barbuda,,,,,84000.0
668,Antigua and Barbuda,,,,,85000.0
669,Antigua and Barbuda,,,,,87000.0
670,Antigua and Barbuda,,,,,88000.0
671,Antigua and Barbuda,,,,,89000.0
672,Antigua and Barbuda,,,,,90000.0
673,Antigua and Barbuda,,,,,92000.0
674,Antigua and Barbuda,,,,,93000.0
675,Antigua and Barbuda,,,,,94000.0
676,Antigua and Barbuda,,,,,95000.0
677,Antigua and Barbuda,,,,,95000.0
678,Antigua and Barbuda,,,,,96000.0
679,Antigua and Barbuda,,,,,97000.0
780,Argentina,557.0,83.433,14.066,2.501,36871000.0
781,Argentina,525.0,79.819,17.31,2.871,37276000.0
782,Argentina,453.0,79.538,17.992,2.471,37682000.0
783,Argentina,487.0,81.235,15.791,2.974,38088000.0
784,Argentina,532.0,83.594,13.488,2.918,38492000.0
785,Argentina,584.0,83.634,13.991,2.375,38893000.0
786,Argentina,631.0,82.687,14.79,2.523,39290000.0
787,Argentina,694.0,85.497,12.247,2.256,39684000.0
788,Argentina,741.0,85.921,11.832,2.247,40080000.0
789,Argentina,692.0,84.377,13.103,2.52,40483000.0
790,Argentina,772.0,84.852,13.051,2.097,40896000.0
791,Argentina,836.0,85.348,12.836,1.815,41320000.0
792,Argentina,838.0,86.203,12.042,1.755,41755000.0
