,country,gdp,low_carbon_share_energy,population,energy_per_capita
100,Afghanistan,16.508834816,,20780000.0,277.985
101,Afghanistan,15.574844416,,21607000.0,207.409
102,Afghanistan,25.6768,,22601000.0,188.554
103,Afghanistan,27.805560832,,23681000.0,212.873
104,Afghanistan,28.447686656,,24727000.0,188.813
105,Afghanistan,31.259645952,,25654000.0,234.226
106,Afghanistan,34.132578304,,26433000.0,275.655
107,Afghanistan,39.628988416,,27101000.0,347.103
108,Afghanistan,40.56158208,,27722000.0,591.474
109,Afghanistan,47.539798016,,28395000.0,944.117
110,Afghanistan,49.068883968,,29186000.0,1137.331
111,Afghanistan,53.326336,,30117000.0,1494.088
112,Afghanistan,59.166900224,,31161000.0,1292.41
113,Afghanistan,62.993698816,,32270000.0,1016.698
114,Afghanistan,64.346107904,,33371000.0,889.321
115,Afghanistan,62.783393792,,34414000.0,956.51
116,Afghanistan,64.297426944,,35383000.0,1010.014
117,Afghanistan,,,36296000.0,
118,Afghanistan,,,37172000.0,
119,Afghanistan,,,38042000.0,
340,Albania,16.39901184,,3129000.0,8728.864
341,Albania,16.951805952,,3130000.0,8044.828
342,Albania,17.037855744,,3126000.0,8683.174
343,Albania,17.847300096,,3118000.0,10271.498
344,Albania,18.592794624,,3105000.0,11219.719
345,Albania,19.69197056,,3087000.0,11159.786
346,Albania,21.411221504,,3063000.0,10470.273
347,Albania,22.995980288,,3034000.0,8297.158
348,Albania,25.764829184,,3003000.0,9379.119
349,Albania,28.006524928,,2973000.0,10899.704
350,Albania,27.897407488,,2948000.0,13182.737
351,Albania,28.451999744,,2929000.0,9778.128
352,Albania,31.114752,,2914000.0,10007.814
353,Albania,30.586345472,,2904000.0,12749.331
354,Albania,32.387278848,,2896000.0,10990.277
355,Albania,33.224144896,,2891000.0,11651.654
356,Albania,34.351540224,,2886000.0,13668.121
357,Albania,,,2884000.0,
358,Albania,,,2883000.0,
359,Albania,,,2881000.0,
460,Algeria,252.0,0.05,31042000.0,9662.271
461,Algeria,252.0,0.061,31452000.0,9881.754
462,Algeria,266.0,0.049,31855000.0,10106.442
463,Algeria,289.0,0.214,32264000.0,10441.229
464,Algeria,308.0,0.194,32692000.0,10697.854
465,Algeria,354.0,0.408,33150000.0,11046.017
466,Algeria,386.0,0.153,33641000.0,11271.449
467,Algeria,398.0,0.15,34167000.0,11695.535
468,Algeria,423.0,0.176,34731000.0,12193.979
469,Algeria,392.0,0.2,35334000.0,12701.699
470,Algeria,448.0,0.109,35977000.0,12157.811
471,Algeria,482.0,0.221,36661000.0,12668.024
472,Algeria,493.0,0.211,37384000.0,13578.086
473,Algeria,493.0,0.061,38140000.0,14078.557
474,Algeria,494.0,0.11,38924000.0,15043.984
475,Algeria,513.0,0.091,39728000.0,15542.75
476,Algeria,534.0,0.137,40551000.0,15210.944
477,Algeria,,0.232,41389000.0,15064.678
478,Algeria,,0.27,42228000.0,15915.297
479,Algeria,,0.273,43053000.0,16376.102
500,American Samoa,,,58000.0,39634.886
501,American Samoa,,,58000.0,39634.886
502,American Samoa,,,59000.0,39610.465
503,American Samoa,,,59000.0,39610.465
504,American Samoa,,,60000.0,38950.291
505,American Samoa,,,60000.0,41375.816
506,American Samoa,,,59000.0,42790.427
507,American Samoa,,,58000.0,43528.193
508,American Samoa,,,57000.0,44413.197
509,American Samoa,,,57000.0,44291.845
510,American Samoa,,,56000.0,45082.771
511,American Samoa,,,56000.0,25726.729
512,American Samoa,,,56000.0,25797.217
513,American Samoa,,,56000.0,25726.729
514,American Samoa,,,56000.0,25726.729
515,American Samoa,,,56000.0,25726.729
516,American Samoa,,,56000.0,26149.812
517,American Samoa,,,56000.0,
518,American Samoa,,,55000.0,
519,American Samoa,,,55000.0,
620,Angola,18.270171136,,16395000.0,1973.296
621,Angola,21.532884992,,16946000.0,2070.529
622,Angola,24.934770688,,17519000.0,2136.688
623,Angola,25.932263424,,18121000.0,2293.538
624,Angola,31.778297856,,18758000.0,2450.962
625,Angola,43.459514368,,19434000.0,2011.712
626,Angola,60.607725568,,20150000.0,2449.953
627,Angola,72.748662784,,20905000.0,2717.004
628,Angola,88.982708224,,21696000.0,3069.257
