,country,gdp,fossil_share_energy,renewables_share_energy,nuclear_share_energy,energy_per_capita
100,Afghanistan,16.508834816,,,,277.985
101,Afghanistan,15.574844416,,,,207.409
102,Afghanistan,25.6768,,,,188.554
103,Afghanistan,27.805560832,,,,212.873
104,Afghanistan,28.447686656,,,,188.813
105,Afghanistan,31.259645952,,,,234.226
106,Afghanistan,34.132578304,,,,275.655
107,Afghanistan,39.628988416,,,,347.103
108,Afghanistan,40.56158208,,,,591.474
109,Afghanistan,47.539798016,,,,944.117
110,Afghanistan,49.068883968,,,,1137.331
111,Afghanistan,53.326336,,,,1494.088
112,Afghanistan,59.166900224,,,,1292.41
113,Afghanistan,62.993698816,,,,1016.698
114,Afghanistan,64.346107904,,,,889.321
115,Afghanistan,62.783393792,,,,956.51
116,Afghanistan,64.297426944,,,,1010.014
117,Afghanistan,,,,,
118,Afghanistan,,,,,
119,Afghanistan,,,,,
340,Albania,16.39901184,,,,8728.864
341,Albania,16.951805952,,,,8044.828
342,Albania,17.037855744,,,,8683.174
343,Albania,17.847300096,,,,10271.498
344,Albania,18.592794624,,,,11219.719
345,Albania,19.69197056,,,,11159.786
346,Albania,21.411221504,,,,10470.273
347,Albania,22.995980288,,,,8297.158
348,Albania,25.764829184,,,,9379.119
349,Albania,28.006524928,,,,10899.704
350,Albania,27.897407488,,,,13182.737
351,Albania,28.451999744,,,,9778.128
352,Albania,31.114752,,,,10007.814
353,Albania,30.586345472,,,,12749.331
354,Albania,32.387278848,,,,10990.277
355,Albania,33.224144896,,,,11651.654
356,Albania,34.351540224,,,,13668.121
357,Albania,,,,,
358,Albania,,,,,
359,Albania,,,,,
460,Algeria,252.0,99.95,0.05,0.0,9662.271
461,Algeria,252.0,99.939,0.061,0.0,9881.754
462,Algeria,266.0,99.951,0.049,0.0,10106.442
463,Algeria,289.0,99.786,0.214,0.0,10441.229
464,Algeria,308.0,99.806,0.194,0.0,10697.854
465,Algeria,354.0,99.592,0.408,0.0,11046.017
466,Algeria,386.0,99.847,0.153,0.0,11271.449
467,Algeria,398.0,99.85,0.15,0.0,11695.535
468,Algeria,423.0,99.824,0.176,0.0,12193.979
469,Algeria,392.0,99.8,0.2,0.0,12701.699
470,Algeria,448.0,99.891,0.109,0.0,12157.811
471,Algeria,482.0,99.779,0.221,0.0,12668.024
472,Algeria,493.0,99.789,0.211,0.0,13578.086
473,Algeria,493.0,99.939,0.061,0.0,14078.557
474,Algeria,494.0,99.89,0.11,0.0,15043.984
475,Algeria,513.0,99.909,0.091,0.0,15542.75
476,Algeria,534.0,99.863,0.137,0.0,15210.944
477,Algeria,,99.768,0.232,0.0,15064.678
478,Algeria,,99.73,0.27,0.0,15915.297
479,Algeria,,99.727,0.273,0.0,16376.102
500,American Samoa,,,,,39634.886
501,American Samoa,,,,,39634.886
502,American Samoa,,,,,39610.465
503,American Samoa,,,,,39610.465
504,American Samoa,,,,,38950.291
505,American Samoa,,,,,41375.816
506,American Samoa,,,,,42790.427
507,American Samoa,,,,,43528.193
508,American Samoa,,,,,44413.197
509,American Samoa,,,,,44291.845
510,American Samoa,,,,,45082.771
511,American Samoa,,,,,25726.729
512,American Samoa,,,,,25797.217
513,American Samoa,,,,,25726.729
514,American Samoa,,,,,25726.729
515,American Samoa,,,,,25726.729
516,American Samoa,,,,,26149.812
517,American Samoa,,,,,
518,American Samoa,,,,,
519,American Samoa,,,,,
620,Angola,18.270171136,,,,1973.296
621,Angola,21.532884992,,,,2070.529
