year,country,per_capita_electricity,electricity_generation,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_electricity,other_renewable_exc_biofuel_electricity,renewables_electricity,solar_electricity,wind_electricity,energy_per_capita,population
1998,Argentina,2056.666,74.17,0.68,1.808,33.639,28.021,32.422,7.453,3.81,0.464,0.0,32.918,0.0,0.033,18700.103,36063000.0
1999,Argentina,2214.186,80.745,0.68,2.106,46.146,40.209,26.53,7.106,3.831,0.65,0.0,27.215,0.0,0.035,18084.557,36467000.0
2000,Argentina,2311.846,85.24,0.68,1.855,50.054,45.125,28.486,5.985,3.074,0.68,0.0,29.201,0.0,0.035,18608.827,36871000.0
2001,Argentina,2320.566,86.501,0.62,1.433,42.638,40.126,36.653,6.541,1.079,0.62,0.0,37.322,0.0,0.049,18203.75,37276000.0
2002,Argentina,2153.695,81.156,0.87,0.877,39.331,37.593,35.492,5.39,0.861,0.87,0.0,36.435,0.0,0.073,17144.248,37682000.0
2003,Argentina,2314.27,88.146,1.0,0.984,46.563,44.487,33.475,7.03,1.092,1.0,0.0,34.553,0.0,0.078,18196.932,38088000.0
2004,Argentina,2485.99,95.691,1.2,1.707,56.97,51.058,30.136,7.313,4.205,1.2,0.0,31.408,0.0,0.072,18965.749,38492000.0
2005,Argentina,2593.398,100.865,1.3,2.22,59.456,51.126,33.664,6.37,6.11,1.3,0.0,35.039,0.0,0.075,20017.886,38893000.0
2006,Argentina,2835.635,111.412,2.8,2.105,63.818,53.009,37.571,7.153,8.703,2.8,0.0,40.441,0.0,0.07,20819.765,39290000.0
2007,Argentina,2793.799,110.869,2.76,2.494,71.263,56.72,30.063,6.722,12.049,2.76,0.0,32.884,0.0,0.061,21522.762,39684000.0
2008,Argentina,2863.194,114.757,1.576,1.952,76.176,59.414,30.113,6.85,14.809,1.576,0.0,31.731,0.0,0.042,21673.035,40080000.0
2009,Argentina,2872.838,116.301,1.366,1.809,73.782,56.819,33.527,7.59,15.154,1.366,0.0,34.929,0.0,0.036,21043.171,40483000.0
2010,Argentina,2925.117,119.626,1.165,3.113,78.725,58.055,33.019,6.691,17.557,1.165,0.0,34.21,0.0,0.025,21919.694,40896000.0
2011,Argentina,2970.82,122.754,1.162,3.032,84.604,61.438,31.034,5.894,20.133,1.162,0.0,32.257,0.002,0.059,22111.154,41320000.0
2012,Argentina,3082.088,128.693,1.372,2.701,91.876,68.919,28.712,5.903,20.255,1.372,0.0,30.914,0.008,0.822,22504.785,41755000.0
2013,Argentina,3135.63,132.311,1.314,2.434,91.731,67.365,32.513,5.732,21.931,1.314,0.0,34.849,0.015,1.007,23202.432,42196000.0
2014,Argentina,3086.766,131.614,0.988,2.634,92.4,69.154,32.332,5.258,20.612,0.988,0.0,33.955,0.016,0.619,22846.498,42638000.0
2015,Argentina,3199.081,137.8,1.194,2.487,97.54,71.293,31.939,6.519,23.761,1.194,0.0,33.741,0.015,0.593,23123.79,43075000.0
2016,Argentina,3203.131,139.362,1.214,1.977,100.504,76.574,29.405,7.677,21.953,1.214,0.0,31.181,0.014,0.548,22832.315,43508000.0
2017,Argentina,3145.603,138.208,1.389,2.202,99.016,84.051,31.459,5.716,12.763,1.389,0.0,33.476,0.016,0.612,22550.74,43937000.0
2018,Argentina,3144.205,139.48,1.36,2.193,98.184,88.476,31.962,6.453,7.515,1.36,0.0,34.843,0.108,1.413,22172.06,44361000.0
2019,Argentina,2962.922,132.683,1.724,0.741,89.9,85.787,27.335,7.927,3.372,1.724,0.0,34.856,0.8,4.997,21479.671,44781000.0
2020,Argentina,2990.301,135.149,1.893,1.446,91.627,86.69,20.854,10.01,3.492,1.893,0.0,33.511,1.344,9.42,21479.671,44781000.0
1998,Bolivia,448.46,3.775,0.054,0.0,1.768,1.768,1.953,0.0,0.0,0.054,0.0,2.007,0.0,0.0,4542.972,8097000.0
1999,Bolivia,448.46,3.775,0.054,0.0,1.768,1.768,1.953,0.0,0.0,0.054,0.0,2.007,0.0,0.0,5000.679,8257000.0
2000,Bolivia,448.46,3.775,0.054,0.0,1.768,1.768,1.953,0.0,0.0,0.054,0.0,2.007,0.0,0.0,5147.586,8418000.0
2001,Bolivia,448.855,3.851,0.054,0.0,1.689,1.689,2.108,0.0,0.0,0.054,0.0,2.162,0.0,0.0,4305.691,8580000.0
2002,Bolivia,462.814,4.046,0.054,0.0,1.811,1.811,2.181,0.0,0.0,0.054,0.0,2.235,0.0,0.0,4623.534,8743000.0
2003,Bolivia,468.733,4.175,0.054,0.0,2.154,2.154,1.967,0.0,0.0,0.054,0.0,2.021,0.0,0.0,6119.649,8906000.0
2004,Bolivia,481.074,4.363,0.055,0.0,2.18,2.18,2.128,0.0,0.0,0.055,0.0,2.183,0.0,0.0,6239.658,9069000.0
2005,Bolivia,508.449,4.694,0.057,0.0,2.693,2.693,1.944,0.0,0.0,0.057,0.0,2.001,0.0,0.0,6007.822,9232000.0
2006,Bolivia,540.743,5.08,0.058,0.0,2.885,2.885,2.137,0.0,0.0,0.058,0.0,2.195,0.0,0.0,6503.713,9395000.0
2007,Bolivia,576.701,5.512,0.062,0.0,3.154,3.154,2.296,0.0,0.0,0.062,0.0,2.358,0.0,0.0,6871.343,9558000.0
