,country,fossil_share_elec,renewables_share_elec,nuclear_share_elec,population
0,Afghanistan,16.456555555555557,83.54344444444445,0.0,34247333.333333336
1,Albania,0.14855555555555555,99.85144444444444,0.0,2896444.4444444445
2,Algeria,99.23366666666666,0.7663333333333333,0.0,39784222.222222224
3,American Samoa,100.0,0.0,0.0,55777.77777777778
4,Angola,34.32644444444444,65.67355555555555,0.0,27940555.555555556
5,Antigua and Barbuda,98.428,1.572,0.0,93444.44444444444
6,Argentina,70.0337,24.9565,5.0098,43063444.44444445
7,Armenia,38.477666666666664,31.018000000000004,30.504444444444445,2920888.888888889
8,Aruba,83.923,16.076999999999998,0.0,104222.22222222222
9,Australia,83.8751,16.1249,0.0,23908222.222222224
10,Austria,23.5791,76.4209,0.0,8691000.0
11,Azerbaijan,91.5288,8.4712,0.0,9611555.555555556
12,Bahamas,99.89611111111111,0.10388888888888889,0.0,374555.55555555556
13,Bahrain,99.97422222222222,0.025777777777777778,0.0,1414555.5555555555
14,Bangladesh,98.20779999999999,1.7922,0.0,156210883.55555555
15,Barbados,98.11766666666666,1.8823333333333332,0.0,285222.22222222225
16,Belarus,98.4342,1.5657999999999999,0.0,9436444.444444444
17,Belgium,35.095600000000005,18.0854,46.819,11284111.111111112
18,Belize,3.4859999999999998,96.514,0.0,360555.55555555556
19,Benin,97.20155555555556,2.7984444444444443,0.0,10599000.0
20,Bermuda,100.0,0.0,0.0,63777.77777777778
21,Bhutan,0.005333333333333333,99.99466666666666,0.0,728000.0
22,Bolivia,68.279,31.720999999999997,0.0,10866777.777777778
23,Bosnia and Herzegovina,65.77000000000001,34.230000000000004,0.0,3453666.6666666665
24,Botswana,99.835,0.165,0.0,2139000.0
25,Brazil,16.4672,80.964,2.5686,204398890.66666666
26,British Virgin Islands,98.95644444444444,1.0435555555555556,0.0,29222.222222222223
27,Brunei,99.95833333333333,0.041666666666666664,0.0,414222.22222222225
28,Bulgaria,49.8054,15.3273,34.867399999999996,7195000.0
29,Burkina Faso,84.74611111111112,15.253888888888888,0.0,18148222.222222224
30,Burundi,19.567666666666668,80.43233333333335,0.0,10196555.555555556
31,Cambodia,53.31588888888889,46.68411111111111,0.0,15517222.222222222
32,Cameroon,33.528,66.47200000000001,0.0,23337000.0
33,Canada,18.944499999999998,66.18379999999999,14.8717,36005555.55555555
35,Cayman Islands,99.16322222222223,0.8367777777777778,0.0,61666.666666666664
36,Central African Republic,3.711555555555556,96.28844444444445,0.0,4533888.888888889
37,Chad,98.18711111111111,1.8128888888888888,0.0,14127222.222222222
38,Chile,56.2971,43.7029,0.0,18032666.666666668
39,China,72.8477,23.9109,3.2415,1406154666.6666667
40,Colombia,26.2103,73.7897,0.0,47756444.44444445
41,Comoros,96.69300000000001,3.307,0.0,778000.0
42,Congo,52.891777777777776,47.108222222222224,0.0,4870888.888888889
43,Cook Islands,88.74122222222223,11.258777777777778,0.0,18000.0
44,Costa Rica,4.2176,95.7824,0.0,4844666.666666667
46,Croatia,36.699,63.301,0.0,4228111.111111111
47,Cuba,95.98866666666667,4.011333333333334,0.0,11306000.0
48,Cyprus,91.90990000000001,8.0901,0.0,1161666.6666666667
49,Czechia,55.166399999999996,10.719100000000001,34.1146,10615777.777777778
50,Democratic Republic of Congo,0.20922222222222223,99.79077777777778,0.0,76466000.0
51,Denmark,39.1135,60.8865,0.0,5683555.555555556
52,Djibouti,99.17055555555555,0.8294444444444444,0.0,913777.7777777778
53,Dominica,67.6861111111111,32.31388888888889,0.0,71222.22222222222
54,Dominican Republic,87.84455555555556,12.155444444444445,0.0,10279555.555555556
55,Ecuador,38.18088888888889,61.819111111111106,0.0,16258111.111111112
56,Egypt,90.07766666666666,9.922333333333334,0.0,92436222.22222222
57,El Salvador,35.99322222222222,64.00677777777778,0.0,6328222.222222222
58,Equatorial Guinea,72.59733333333332,27.402666666666665,0.0,1169666.6666666667
59,Eritrea,96.385,3.6149999999999998,0.0,3348777.777777778
60,Estonia,84.0197,15.9803,0.0,1320666.6666666667
62,Ethiopia,0.10955555555555556,99.89044444444444,0.0,100943111.1111111
64,Fiji,41.18055555555556,58.81944444444444,0.0,872333.3333333334
65,Finland,23.7291,42.660000000000004,33.6109,5472222.222222222
66,France,9.3107,17.3772,73.312,64328777.777777776
67,French Guiana,39.60566666666667,60.39433333333333,0.0,262666.6666666667
68,French Polynesia,65.50555555555555,34.49444444444444,0.0,273333.3333333333
69,Gabon,56.958222222222226,43.041777777777774,0.0,1938777.7777777778
70,Gambia,98.86644444444444,1.1335555555555556,0.0,2090888.888888889
71,Georgia,20.00411111111111,79.99588888888889,0.0,4030777.777777778
72,Germany,55.4245,30.6145,13.9612,81970333.33333333
73,Ghana,41.055,58.945,0.0,27872555.555555556
74,Gibraltar,100.0,0.0,0.0,34000.0
75,Greece,74.1346,25.8654,0.0,10654555.555555556
76,Greenland,19.374,80.626,0.0,56333.333333333336
77,Grenada,98.34211111111111,1.6578888888888887,0.0,109444.44444444444
78,Guadeloupe,87.07044444444445,12.929555555555556,0.0,401555.55555555556
79,Guam,98.07744444444444,1.9225555555555556,0.0,162555.55555555556
80,Guatemala,35.10355555555556,64.89644444444444,0.0,16257555.555555556
81,Guinea,47.098,52.902,0.0,11504333.333333334
82,Guinea-Bissau,97.94722222222222,2.052777777777778,0.0,1738888.888888889
83,Guyana,97.984,2.016,0.0,767111.1111111111
