,country,low_carbon_share_elec,population,per_capita_electricity
0,Afghanistan,83.54344444444445,34247333.333333336,31.813000000000002
1,Albania,99.85144444444444,2896444.4444444445,1998.4319999999998
2,Algeria,0.7663333333333333,39784222.222222224,1580.1572222222223
3,American Samoa,0.0,55777.77777777778,2888.7443333333335
4,Angola,65.67355555555555,27940555.555555556,326.0078888888889
5,Antigua and Barbuda,1.572,93444.44444444444,3470.763111111111
6,Argentina,29.9663,43063444.44444445,3092.0546999999997
7,Armenia,61.522333333333336,2920888.888888889,2498.7833333333333
8,Aruba,16.076999999999998,104222.22222222222,8805.611222222222
9,Australia,16.1249,23908222.222222224,10092.2916
10,Austria,76.4209,8691000.0,7540.0496
11,Azerbaijan,8.4712,9611555.555555556,2380.2042
12,Bahamas,0.10388888888888889,374555.55555555556,4960.142555555555
13,Bahrain,0.025777777777777778,1414555.5555555555,18342.632777777777
14,Bangladesh,1.7922,156210883.55555555,388.3824
15,Barbados,1.8823333333333332,285222.22222222225,3509.143555555556
16,Belarus,1.5657999999999999,9436444.444444444,3475.0667000000003
17,Belgium,64.9044,11284111.111111112,7162.171700000001
18,Belize,96.514,360555.55555555556,1044.2871111111112
19,Benin,2.7984444444444443,10599000.0,17.418111111111113
20,Bermuda,0.0,63777.77777777778,9883.248444444445
21,Bhutan,99.99466666666666,728000.0,9956.359888888888
22,Bolivia,31.720999999999997,10866777.777777778,775.3887000000001
23,Bosnia and Herzegovina,34.230000000000004,3453666.6666666665,4615.421
24,Botswana,0.165,2139000.0,917.3912222222223
25,Brazil,83.5328,204398890.66666666,2791.1204
26,British Virgin Islands,1.0435555555555556,29222.222222222223,5537.632333333333
27,Brunei,0.041666666666666664,414222.22222222225,9533.415888888889
28,Bulgaria,50.1946,7195000.0,6346.6296999999995
29,Burkina Faso,15.253888888888888,18148222.222222224,48.46711111111111
30,Burundi,80.43233333333335,10196555.555555556,20.438333333333333
31,Cambodia,46.68411111111111,15517222.222222222,272.6222222222222
32,Cameroon,66.47200000000001,23337000.0,301.95955555555554
33,Canada,81.0555,36005555.55555555,17523.4622
35,Cayman Islands,0.8367777777777778,61666.666666666664,10230.422444444444
36,Central African Republic,96.28844444444445,4533888.888888889,35.50244444444444
37,Chad,1.8128888888888888,14127222.222222222,15.354333333333333
38,Chile,43.7029,18032666.666666668,4013.3495000000003
39,China,27.152300000000004,1406154666.6666667,4308.0039
40,Colombia,73.7897,47756444.44444445,1493.8169
41,Comoros,3.307,778000.0,89.75455555555556
42,Congo,47.108222222222224,4870888.888888889,493.28888888888895
43,Cook Islands,11.258777777777778,18000.0,1876.6544444444444
44,Costa Rica,95.7824,4844666.666666667,2195.9947
46,Croatia,63.301,4228111.111111111,2935.9398
47,Cuba,4.011333333333334,11306000.0,1646.3255555555556
48,Cyprus,8.0901,1161666.6666666667,4198.1936000000005
49,Czechia,44.833600000000004,10615777.777777778,7977.1053
50,Democratic Republic of Congo,99.79077777777778,76466000.0,117.54644444444446
51,Denmark,60.8865,5683555.555555556,5493.0187
52,Djibouti,0.8294444444444444,913777.7777777778,203.6677777777778
53,Dominica,32.31388888888889,71222.22222222222,1311.9563333333333
54,Dominican Republic,12.155444444444445,10279555.555555556,1657.3343333333332
55,Ecuador,61.819111111111106,16258111.111111112,1545.6397777777777
56,Egypt,9.922333333333334,92436222.22222222,1749.7901111111112
57,El Salvador,64.00677777777778,6328222.222222222,878.0428888888889
58,Equatorial Guinea,27.402666666666665,1169666.6666666667,1104.2864444444444
59,Eritrea,3.6149999999999998,3348777.777777778,109.06377777777777
60,Estonia,15.9803,1320666.6666666667,8546.85
62,Ethiopia,99.89044444444444,100943111.1111111,104.36488888888888
64,Fiji,58.81944444444444,872333.3333333334,1098.4084444444443
65,Finland,76.27090000000001,5472222.222222222,12615.6487
66,France,90.6893,64328777.777777776,8749.0023
67,French Guiana,60.39433333333333,262666.6666666667,3751.233333333333
68,French Polynesia,34.49444444444444,273333.3333333333,2201.8251111111113
69,Gabon,43.041777777777774,1938777.7777777778,1083.8504444444445
70,Gambia,1.1335555555555556,2090888.888888889,134.59066666666666
71,Georgia,79.99588888888889,4030777.777777778,2655.2137777777775
72,Germany,44.5755,81970333.33333333,7584.9571
73,Ghana,58.945,27872555.555555556,413.4881111111111
74,Gibraltar,0.0,34000.0,5464.902
75,Greece,25.8654,10654555.555555556,5080.4956
76,Greenland,80.626,56333.333333333336,8479.479111111112
77,Grenada,1.6578888888888887,109444.44444444444,1870.96
78,Guadeloupe,12.929555555555556,401555.55555555556,4088.397222222222
79,Guam,1.9225555555555556,162555.55555555556,10465.374333333333
80,Guatemala,64.89644444444444,16257555.555555556,699.087
81,Guinea,52.902,11504333.333333334,128.62011111111113
82,Guinea-Bissau,2.052777777777778,1738888.888888889,20.659333333333333
83,Guyana,2.016,767111.1111111111,1296.1365555555556
84,Haiti,14.955111111111112,10689444.444444444,90.09266666666667
85,Honduras,53.59733333333334,9113777.777777778,927.2661111111112
86,Hong Kong,0.19344444444444445,7202444.444444444,4986.206
87,Hungary,59.7081,9783666.666666666,3323.0674
88,Iceland,99.98444444444445,330777.77777777775,55140.612555555555
89,India,21.8353,1309435221.3333333,886.0115
90,Indonesia,13.58488888888889,258154222.2222222,870.9197777777778
91,Iran,7.6178,78618555.55555555,3440.4311000000002
92,Iraq,5.160777777777778,35296000.0,1860.0155555555555
93,Ireland,27.8065,4693666.666666667,6097.5606
94,Israel,2.076,7991444.444444444,7636.84488888889
95,Italy,37.6403,60348555.55555555,4763.7875
96,Jamaica,9.148222222222223,2889222.222222222,1394.3538888888888
97,Japan,22.3902,127857666.66666667,7886.5678
98,Jordan,4.386333333333333,9096111.111111112,1925.0077777777778
99,Kazakhstan,10.3766,17547333.333333332,5300.8258000000005
100,Kenya,79.83777777777777,47873222.222222224,194.63455555555555
101,Kiribati,10.330333333333334,111111.11111111111,246.74777777777777
103,Kuwait,0.06133333333333334,3769666.6666666665,16795.183222222222
104,Kyrgyzstan,91.424,5962111.111111111,2417.230666666667
105,Laos,82.95022222222222,6749333.333333333,3164.3976666666667
106,Latvia,56.7076,1998555.5555555555,3132.232
107,Lebanon,3.474555555555556,6299444.444444444,2860.1773333333335
108,Lesotho,100.0,2061111.111111111,252.72444444444443
109,Liberia,0.31855555555555554,4475333.333333333,72.68566666666666
110,Libya,0.024333333333333332,6462444.444444444,4938.189444444444
111,Lithuania,53.268600000000006,2926333.3333333335,1256.3019
112,Luxembourg,43.3258,567333.3333333334,2702.6528
114,Madagascar,44.69677777777778,24285777.777777776,81.62544444444444
115,Malawi,91.23455555555556,16764333.333333334,120.13044444444444
116,Malaysia,12.63011111111111,30288222.222222224,4726.648444444445
117,Maldives,0.4555555555555555,455777.77777777775,1125.792222222222
118,Mali,52.55155555555555,17503333.333333332,154.45933333333335
119,Malta,7.0952,431444.44444444444,4326.9128
120,Martinique,2.7977777777777777,381000.0,3846.745111111111
121,Mauritania,29.192888888888888,4052888.888888889,239.29277777777781
122,Mauritius,21.80211111111111,1259777.7777777778,2251.8814444444447
123,Mexico,20.1356,121765111.1111111,2434.7102999999997
124,Moldova,6.086444444444444,4066111.111111111,1273.847888888889
125,Mongolia,4.8538,2997777.777777778,1778.1172
126,Montenegro,55.74944444444444,626888.8888888889,5001.308222222222
127,Montserrat,0.0,5000.0,3925.925888888889
128,Morocco,15.340222222222224,34644888.88888889,827.1425555555556
129,Mozambique,90.12611111111111,27142333.333333332,620.1696666666667
131,Namibia,97.59633333333333,2319777.777777778,618.6383333333333
132,Nauru,0.0,10333.333333333334,2721.8855555555556
133,Nepal,99.90511111111111,27385444.444444444,149.52766666666668
134,Netherlands,18.0553,16929333.333333332,6631.9520999999995
136,New Caledonia,15.024333333333333,270555.55555555556,9927.835444444445
137,New Zealand,79.998,4608444.444444444,9257.996799999999
