,country,gdp,fossil_share_energy,renewables_share_energy,nuclear_share_energy,energy_per_capita,primary_energy_consumption
0,Algeria,398.6470588235294,99.83149999999999,0.1685,0.0,12766.7231,470.17185
1,Argentina,686.2941176470588,84.16369999999999,13.650450000000001,2.18585,21046.9632,861.6847
2,Australia,894.7647058823529,94.6854,5.3146,0.0,69308.14355000001,1519.9144000000001
3,Austria,335.5882352941176,69.35965,30.64035,0.0,47594.775,401.53825
4,Azerbaijan,87.53623937505883,96.2136,3.7863999999999995,0.0,16727.425750000002,151.17185
5,Bangladesh,325.52941176470586,99.04465,0.9553499999999999,0.0,1782.68815,266.24845
6,Belarus,136.25901116235292,99.77430000000001,0.17455,0.0,29856.23425,284.1478
7,Belgium,394.8235294117647,81.6072,3.0422000000000002,15.35075,68149.53475,740.70745
8,Brazil,2234.705882352941,57.42725,41.3054,1.2673999999999999,14785.997500000001,2887.10245
9,Bulgaria,99.83525309741177,73.75059999999999,5.9487000000000005,19.9849,29237.0917,218.28789999999998
10,Canada,1366.4705882352941,65.96950000000001,27.59205,6.438549999999999,110179.26665,3733.48555
11,Chile,274.94117647058823,80.4509,19.5491,0.0,22349.7183,381.86015000000003
12,China,10811.764705882353,91.35895000000001,7.70405,0.937,19555.6535,26932.950699999998
13,Colombia,421.6470588235294,70.71950000000001,29.2805,0.0,8883.70025,402.2058
14,Croatia,80.56302941364707,80.84575,19.0376,0.0,23072.5923,99.47274999999999
15,Cyprus,24.43448874164706,98.33375,1.3976,0.0,29710.545299999998,32.1627
16,Czechia,261.6470588235294,82.7898,3.1300499999999998,13.6477,47224.7177,493.6647
17,Denmark,223.94117647058823,83.2859,16.1383,0.0,39791.0944,220.0975
18,Ecuador,121.69630232094117,80.2366,19.7275,0.0,9933.7012,150.23195
19,Egypt,682.8823529411765,95.2144,4.7856000000000005,0.0,10124.95745,850.3745500000001
20,Estonia,25.557889385411766,96.95365000000001,2.96585,0.0,50240.5349,67.30420000000001
21,Finland,196.35294117647058,62.78095,19.7885,17.43045,65300.231999999996,349.30835
22,France,2261.176470588235,53.7851,7.85865,38.35625,46900.487,2924.4338
23,Germany,3305.8823529411766,82.5313,8.787749999999999,8.68105,47010.519,3836.8293
24,Greece,281.5882352941176,92.80985,6.8907,0.0,33501.8779,366.06955
25,Hong Kong,317.0,99.94834999999999,0.03785,0.0,42980.38895,300.63115
26,Hungary,194.23529411764707,83.30285,2.14295,14.0929,27719.360999999997,275.8289
27,Iceland,11.665865968941176,23.9661,75.95554999999999,0.0,153433.00475,48.4695
28,India,4400.588235294118,92.4842,6.4017,1.11425,5017.6939,6228.2192
29,Indonesia,1526.1176470588234,96.2073,3.7927,0.0,7156.073699999999,1739.2540000000001
30,Iran,1067.2941176470588,98.4718,1.36195,0.16635000000000003,32415.71165,2418.3176
31,Iraq,262.5373185807059,97.3664,2.6336,0.0,13223.3745,408.8182
32,Ireland,215.76470588235293,92.89020000000001,6.7116,0.0,41048.472350000004,179.366
33,Israel,211.23529411764707,99.437,0.5221,0.0,37374.06775,268.94335
34,Italy,2013.5294117647059,89.03144999999999,10.96855,0.0,33527.711950000004,1978.1034
35,Japan,4439.411764705882,86.3456,5.69585,7.91935,44656.145150000004,5718.7238
36,Kazakhstan,255.0107969957647,96.26465,3.73395,0.0,38411.9319,636.3886
37,Kuwait,198.7391726832941,99.98985,0.01015,0.0,123258.4389,366.45655
38,Latvia,36.051380464941175,80.17699999999999,19.47645,0.0,20439.1731,43.42895
39,Lithuania,56.83853528847059,79.12055000000001,3.94375,16.4439,25106.7762,79.46185
40,Luxembourg,29.428852495058823,96.99755,1.8556000000000001,0.0,92088.60785,46.423500000000004
41,Malaysia,461.0,96.66905,3.1952000000000003,0.0,33273.96675,933.71695
42,Mexico,1504.1176470588234,93.00945,5.636,1.3545,17399.349299999998,1972.8881000000001
43,Morocco,190.2941176470588,96.24075,3.75925,0.0,5661.4606,185.2049
44,Netherlands,733.7058823529412,96.11165,2.9135,0.975,62901.71644999999,1043.5184
45,New Zealand,124.96177278494118,65.0553,34.9347,0.0,54082.05375,234.37615
46,North Macedonia,21.54229922635294,88.0921,11.8965,0.0,14896.4375,30.7888
47,Norway,340.0,32.9656,66.74215000000001,0.0,105147.9778,513.0658000000001
48,Oman,108.25514532141176,99.9993,0.0007,0.0,71369.676,243.39895
49,Pakistan,662.0,87.8478,10.84555,1.3068,4022.1004000000003,723.0216499999999
50,Peru,232.2941176470588,71.5333,27.60965,0.0,7489.4489,220.73470000000003
51,Philippines,502.8235294117647,84.9134,14.5211,0.0,3964.05795,373.6309
52,Poland,718.1764705882352,96.8714,3.0807,0.0,28975.9502,1108.14735
53,Portugal,252.47058823529412,81.01155,18.98845,0.0,27858.786849999997,290.7668
54,Qatar,169.2191335002353,99.97265,0.027350000000000003,0.0,212854.392,349.578
55,Romania,311.70588235294116,81.24584999999999,12.44715,5.9408,19839.02985,410.85195000000004
56,Russia,2489.4117647058824,88.47185,5.86615,5.661849999999999,53721.96265,7764.07175
57,Saudi Arabia,965.5294117647059,99.98895,0.011049999999999999,0.0,83056.66695,2308.6019
58,Singapore,268.11764705882354,99.77895,0.22105000000000002,0.0,146579.75634999998,736.5210500000001
59,Slovakia,108.13970980141177,71.60125000000001,6.97675,20.92215,37053.2606,200.6146
60,Slovenia,51.00842140611764,67.5042,13.9145,18.184649999999998,40244.222250000006,81.78285
61,South Korea,1484.1176470588234,86.30145,0.8949,12.8038,59057.4672,2932.88725
62,Spain,1397.0588235294117,78.191,12.428650000000001,9.3803,36685.3569,1656.3013999999998
63,Sri Lanka,154.50245086870586,82.45975,17.54025,0.0,3319.2955500000003,67.3053
64,Sweden,374.88235294117646,35.798950000000005,36.511900000000004,27.68895,65582.76395000001,614.07535
65,Switzerland,413.29411764705884,51.05575,28.978050000000003,19.84215,43626.93215,338.47575
66,Taiwan,834.3529411764706,90.46545,1.58025,7.95435,54479.88525000001,1257.0709000000002
67,Thailand,721.7058823529412,96.7411,3.2588999999999997,0.0,17823.69825,1197.1804
69,Trinidad and Tobago,29.690398900705883,99.97825,0.02175,0.0,147991.84755,197.1498
70,Turkey,1164.1764705882354,88.5753,11.376,0.0,17262.38415,1271.3031
71,Turkmenistan,62.75511118305882,99.99445,0.00555,0.0,45627.3376,239.07045
72,Ukraine,382.47058823529414,80.87715,2.23015,16.8764,29519.5826,1365.226
73,United Arab Emirates,495.94117647058823,99.92955,0.07045,0.0,140219.2091,950.7828
74,United Kingdom,2283.529411764706,87.15565000000001,5.1557,7.68865,39223.5361,2458.08
75,United States,15064.70588235294,85.91839999999999,5.70795,8.373850000000001,85073.1081,26020.41465
76,Uzbekistan,167.29832944941177,96.8712,3.1288,0.0,19176.336,540.14025
77,Venezuela,357.0,78.14995,21.85005,0.0,31303.5235,866.9601500000001
78,Vietnam,354.88235294117646,81.72175,18.27825,0.0,6211.96595,559.0335
