,country,gdp,fossil_cons_per_capita,per_capita_electricity
0,Afghanistan,61.15231061333333,5.1561111111111115,31.813000000000002
1,Albania,31.68601019733333,2.1038888888888887,1998.4319999999998
2,Algeria,501.5,1568.1033333333335,1580.1572222222223
4,Angola,138.5,110.65,326.0078888888889
6,Argentina,833.1666666666666,2166.5081999999998,3092.0546999999997
7,Armenia,26.69940224,962.8684444444445,2498.7833333333333
9,Australia,1033.3333333333333,8471.3554,10092.2916
10,Austria,375.5,1778.6686999999997,7540.0496
11,Azerbaijan,147.83333333333334,2180.4188999999997,2380.2042
13,Bahrain,53.27431202133334,18337.90088888889,18342.632777777777
14,Bangladesh,466.6666666666667,381.5307,388.3824
15,Barbados,2.9930688,3443.0034444444445,3509.143555555556
16,Belarus,183.0,3418.4892,3475.0667000000003
17,Belgium,435.8333333333333,2502.6767,7162.171700000001
19,Benin,20.281365845333333,16.970444444444446,17.418111111111113
22,Bolivia,60.837173930666665,529.8247,775.3887000000001
23,Bosnia and Herzegovina,38.974848341333335,3028.456,4615.421
24,Botswana,29.516052821333332,915.9156666666667,917.3912222222223
25,Brazil,3000.0,460.6263,2791.1204
28,Bulgaria,119.0,3169.4013,6346.6296999999995
29,Burkina Faso,26.870157994666666,41.15822222222222,48.46711111111111
30,Burundi,7.515660544,4.397777777777778,20.438333333333333
31,Cambodia,44.741593088,134.38844444444445,272.6222222222222
32,Cameroon,60.09634542933333,103.06644444444444,301.95955555555554
33,Canada,1505.0,3324.2392999999997,17523.4622
36,Central African Republic,3.6598395306666665,1.4253333333333333,35.50244444444444
37,Chad,23.232368981333334,15.08311111111111,15.354333333333333
38,Chile,370.0,2255.4612,4013.3495000000003
39,China,15366.666666666666,3110.0034,4308.0039
40,Colombia,569.3333333333334,394.9527,1493.8169
41,Comoros,1.2308273386666666,87.19066666666667,89.75455555555556
42,Congo,22.884446890666666,276.16633333333334,493.28888888888895
44,Costa Rica,61.355446271999995,89.944,2195.9947
46,Croatia,89.75082564266667,1059.4664,2935.9398
47,Cuba,83.125919744,1580.2584444444446,1646.3255555555556
48,Cyprus,26.434624170666666,3855.8008,4198.1936000000005
49,Czechia,301.0,4402.0799,7977.1053
50,Democratic Republic of Congo,58.88535552,0.24422222222222223,117.54644444444446
51,Denmark,250.16666666666666,2193.4209,5493.0187
52,Djibouti,2.390635328,203.06977777777777,203.6677777777778
53,Dominica,0.6917664960000001,891.2362222222223,1311.9563333333333
54,Dominican Republic,130.0,1454.9745555555555,1657.3343333333332
55,Ecuador,165.0,577.5028888888888,1545.6397777777777
56,Egypt,1007.6666666666666,1576.6162222222222,1749.7901111111112
57,El Salvador,48.60368827733333,320.15766666666667,878.0428888888889
58,Equatorial Guinea,27.803110399999998,788.5406666666667,1104.2864444444444
60,Estonia,31.761289215999998,7305.530500000001,8546.85
62,Ethiopia,148.16666666666666,0.0908888888888889,104.36488888888888
65,Finland,208.16666666666666,3015.9975,12615.6487
66,France,2498.3333333333335,813.8097,8749.0023
69,Gabon,24.415816703999997,616.866,1083.8504444444445
70,Gambia,3.52304704,133.06900000000002,134.59066666666666
71,Georgia,47.94160059733334,529.1167777777778,2655.2137777777775
72,Germany,3708.3333333333335,4218.0317,7584.9571
73,Ghana,91.38430941866666,167.55511111111113,413.4881111111111
75,Greece,265.5,3782.6511,5080.4956
80,Guatemala,99.29170687999999,246.37955555555558,699.087
81,Guinea,17.316626602666666,66.3338888888889,128.62011111111113
82,Guinea-Bissau,2.21403232,20.218333333333334,20.659333333333333
84,Haiti,16.424820223999998,76.73088888888888,90.09266666666667
85,Honduras,37.0824192,428.4237777777778,927.2661111111112
86,Hong Kong,334.3333333333333,4976.7191111111115,4986.206
87,Hungary,220.83333333333334,1344.3844000000001,3323.0674
88,Iceland,12.843800917333333,8.536555555555557,55140.612555555555
89,India,6508.333333333333,692.2988,886.0115
90,Indonesia,2398.3333333333335,750.7838888888889,870.9197777777778
91,Iran,1243.3333333333333,3175.2345,3440.4311000000002
92,Iraq,463.8333333333333,1769.8577777777778,1860.0155555555555
93,Ireland,235.83333333333334,4387.2807999999995,6097.5606
94,Israel,243.66666666666666,7477.00611111111,7636.84488888889
95,Italy,2098.3333333333335,2976.991,4763.7875
96,Jamaica,20.734121642666665,1266.284111111111,1394.3538888888888
97,Japan,4516.666666666667,6127.3351,7886.5678
98,Jordan,83.267764224,1839.2614444444444,1925.0077777777778
99,Kazakhstan,397.8333333333333,4751.8315,5300.8258000000005
100,Kenya,131.33333333333334,38.39055555555555,194.63455555555555
103,Kuwait,277.8333333333333,16784.82677777778,16795.183222222222
104,Kyrgyzstan,27.549428736,203.0787777777778,2417.230666666667
105,Laos,36.75160644266666,720.8941111111112,3164.3976666666667
106,Latvia,42.43272226133333,1345.2675,3132.232
107,Lebanon,76.08428544,2759.9811111111107,2860.1773333333335
108,Lesotho,5.324762538666667,0.0,252.72444444444443
109,Liberia,3.4487633066666668,72.43255555555555,72.68566666666666
110,Libya,81.61399424,4937.003888888889,4938.189444444444
111,Lithuania,69.55856418133334,605.1567,1256.3019
112,Luxembourg,34.311714474666665,1867.3220000000001,2702.6528
114,Madagascar,30.133644970666666,45.358,81.62544444444444
115,Malawi,17.424118442666664,10.254333333333333,120.13044444444444
116,Malaysia,618.3333333333334,4118.003333333333,4726.648444444445
118,Mali,22.593531904000002,75.16477777777777,154.45933333333335
119,Malta,10.808107690666667,4063.425,4326.9128
121,Mauritania,11.097721002666667,171.482,239.29277777777781
122,Mauritius,23.255166975999998,1760.8767777777778,2251.8814444444447
123,Mexico,1796.6666666666667,1944.8867999999998,2434.7102999999997
124,Moldova,19.301410474666667,1197.0704444444445,1273.847888888889
125,Mongolia,31.59948834133333,1688.0587,1778.1172
126,Montenegro,10.942877183999999,2162.0702222222226,5001.308222222222
128,Morocco,251.0,697.6771111111111,827.1425555555556
129,Mozambique,27.082823338666667,59.98044444444444,620.1696666666667
131,Namibia,24.065327104,15.070222222222222,618.6383333333333
133,Nepal,69.119197184,0.12400000000000001,149.52766666666668
134,Netherlands,797.8333333333334,5422.162200000001,6631.9520999999995
137,New Zealand,146.66666666666666,1858.2076000000002,9257.996799999999
138,Nicaragua,26.04066338133333,320.2838888888889,682.2217777777778
139,Niger,14.962276693333331,22.702333333333332,23.062555555555555
140,Nigeria,942.6666666666666,135.87460000000002,170.6504
142,North Korea,42.8060786688,153.36444444444444,655.8844444444444
145,Norway,400.3333333333333,506.8066,26928.8234
146,Oman,156.83333333333334,6981.535444444445,6982.072777777777
147,Pakistan,905.1666666666666,358.0959,579.9738
148,Palestine,19.695497216,94.61877777777778,94.6481111111111
149,Panama,70.71637435733334,788.7196666666666,2434.230555555556
151,Paraguay,53.23636462933334,0.3295555555555556,8647.857555555554
152,Peru,325.8333333333333,640.5182,1520.7907
153,Philippines,678.5,598.4047,804.1582000000001
154,Poland,926.3333333333334,3752.1411,4302.6687
155,Portugal,274.0,2496.9546,5119.3602
156,Puerto Rico,123.5,5701.4508888888895,5981.054
157,Qatar,289.8333333333333,15168.512999999999,15217.057999999999
158,Romania,412.6666666666667,1371.9526,3123.5714
159,Russia,3373.3333333333335,4542.1381,7052.3774
160,Rwanda,17.426159616,23.834777777777777,47.77788888888889
163,Saint Lucia,1.5801021439999998,2043.4184444444445,2049.849888888889
167,Sao Tome and Principe,0.649040672,342.4487777777778,375.6591111111111
168,Saudi Arabia,1441.6666666666667,10045.644222222221,10048.505777777777
169,Senegal,34.03457672533333,233.30022222222226,262.38222222222225
170,Serbia,117.5,2917.9487,4096.7842
171,Seychelles,2.0834786773333334,4326.803888888889,4372.333111111111
172,Sierra Leone,7.699977898666667,8.909666666666666,28.39288888888889
173,Singapore,355.8333333333333,8227.319099999999,8495.860400000001
174,Slovakia,131.66666666666666,1110.2078,5073.1888
175,Slovenia,55.562778624,2505.8460999999998,7762.003599999999
178,South Africa,631.0,3885.5114999999996,4246.097400000001
179,South Korea,1720.0,7121.353,10310.2702
181,Spain,1508.3333333333333,2533.4610000000002,5918.8524
182,Sri Lanka,225.0,361.8781111111111,626.4334444444444
183,Sudan,152.66666666666666,105.50133333333332,322.1691111111111
185,Sweden,414.0,387.71569999999997,16394.5112
186,Switzerland,505.0,87.1785,7826.6629
187,Syria,87.13456981333333,1104.6375555555555,1195.311777777778
188,Taiwan,934.8333333333334,8539.8051,10471.4403
189,Tajikistan,26.302407679999998,66.3515,2066.4397
190,Tanzania,115.5,77.73266666666667,121.03822222222223
191,Thailand,926.3333333333334,2124.0724,2434.5672
193,Togo,10.115650048000001,29.300555555555555,40.815
195,Trinidad and Tobago,37.23928917333333,6534.323444444444,6537.649
196,Tunisia,115.16666666666667,1566.8494,1614.7745
197,Turkey,1565.0,2187.1802,3253.3111
198,Turkmenistan,99.79562265599999,3502.2929999999997,3502.783111111111
200,Uganda,69.83947741866666,9.043666666666667,90.967
201,Ukraine,461.8333333333333,1547.8595,3578.1654000000003
202,United Arab Emirates,622.3333333333334,12176.820444444445,12261.303555555556
203,United Kingdom,2421.6666666666665,2894.7299,5114.4522
204,United States,16350.0,8330.1672,12742.903
206,Uruguay,63.266052096,348.945,3825.6515
207,Uzbekistan,246.66666666666666,1561.8791111111111,1769.5257777777779
209,Venezuela,490.6666666666667,1310.485111111111,3638.922222222222
210,Vietnam,497.0,1153.3342,1853.5089
212,Yemen,88.28295108266667,201.74844444444446,207.31133333333332
213,Zambia,52.379702613333336,56.09977777777778,861.2901111111111
214,Zimbabwe,22.910453418666666,277.4428888888889,634.529
