country,population,low_carbon_share_elec,fossil_share_elec,renewables_share_elec,nuclear_share_elec,fossil_cons_per_capita,per_capita_electricity,acceso_elec
Afghanistan,34247333.333333336,83.54344444444445,16.456555555555557,83.54344444444445,0.0,5.1561111111111115,31.813000000000002,97.7
Albania,2896444.4444444445,99.85144444444444,0.14855555555555555,99.85144444444444,0.0,2.1038888888888887,1998.4319999999998,100.0
Algeria,39784222.222222224,0.7663333333333333,99.23366666666666,0.7663333333333333,0.0,1568.1033333333335,1580.1572222222223,99.80413
Angola,27940555.555555556,65.67355555555555,34.32644444444444,65.67355555555555,0.0,110.65,326.0078888888889,46.89061
Antigua and Barbuda,93444.44444444444,1.572,98.428,1.572,0.0,3415.806888888889,3470.763111111111,100.0
Argentina,43063444.44444445,29.9663,70.0337,24.9565,5.0098,2166.5081999999998,3092.0546999999997,100.0
Armenia,2920888.888888889,61.522333333333336,38.477666666666664,31.018000000000004,30.504444444444445,962.8684444444445,2498.7833333333333,100.0
Aruba,104222.22222222222,16.076999999999998,83.923,16.076999999999998,0.0,7390.892444444446,8805.611222222222,100.0
Australia,23908222.222222224,16.1249,83.8751,16.1249,0.0,8471.3554,10092.2916,100.0
Austria,8691000.0,76.4209,23.5791,76.4209,0.0,1778.6686999999997,7540.0496,100.0
Azerbaijan,9611555.555555556,8.4712,91.5288,8.4712,0.0,2180.4188999999997,2380.2042,100.0
Bahamas,374555.55555555556,0.10388888888888889,99.89611111111111,0.10388888888888889,0.0,4955.024666666667,4960.142555555555,100.0
Bahrain,1414555.5555555555,0.025777777777777778,99.97422222222222,0.025777777777777778,0.0,18337.90088888889,18342.632777777777,100.0
Bangladesh,156210883.55555555,1.7922,98.20779999999999,1.7922,0.0,381.5307,388.3824,96.2
Barbados,285222.22222222225,1.8823333333333332,98.11766666666666,1.8823333333333332,0.0,3443.0034444444445,3509.143555555556,100.0
Belarus,9436444.444444444,1.5657999999999999,98.4342,1.5657999999999999,0.0,3418.4892,3475.0667000000003,100.0
Belgium,11284111.111111112,64.9044,35.095600000000005,18.0854,46.819,2502.6767,7162.171700000001,100.0
Belize,360555.55555555556,96.514,3.4859999999999998,96.514,0.0,36.427,1044.2871111111112,97.113335
Benin,10599000.0,2.7984444444444443,97.20155555555556,2.7984444444444443,0.0,16.970444444444446,17.418111111111113,41.410957
Bermuda,63777.77777777778,0.0,100.0,0.0,0.0,9883.248444444445,9883.248444444445,100.0
Bhutan,728000.0,99.99466666666666,0.005333333333333333,99.99466666666666,0.0,0.5341111111111112,9956.359888888888,100.0
Bolivia,10866777.777777778,31.720999999999997,68.279,31.720999999999997,0.0,529.8247,775.3887000000001,97.55412
Bosnia and Herzegovina,3453666.6666666665,34.230000000000004,65.77000000000001,34.230000000000004,0.0,3028.456,4615.421,100.0
Botswana,2139000.0,0.165,99.835,0.165,0.0,915.9156666666667,917.3912222222223,71.99476
Brazil,204398890.66666666,83.5328,16.4672,80.964,2.5686,460.6263,2791.1204,100.0
British Virgin Islands,29222.222222222223,1.0435555555555556,98.95644444444444,1.0435555555555556,0.0,5487.337888888888,5537.632333333333,100.0
Brunei,414222.22222222225,0.041666666666666664,99.95833333333333,0.041666666666666664,0.0,9529.411666666667,9533.415888888889,100.0
Bulgaria,7195000.0,50.1946,49.8054,15.3273,34.867399999999996,3169.4013,6346.6296999999995,99.7
Burkina Faso,18148222.222222224,15.253888888888888,84.74611111111112,15.253888888888888,0.0,41.15822222222222,48.46711111111111,18.95724
Burundi,10196555.555555556,80.43233333333335,19.567666666666668,80.43233333333335,0.0,4.397777777777778,20.438333333333333,11.735556
Cambodia,15517222.222222222,46.68411111111111,53.31588888888889,46.68411111111111,0.0,134.38844444444445,272.6222222222222,86.4
