iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_generation,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_electricity,other_renewable_exc_biofuel_electricity,renewables_electricity,solar_electricity,wind_electricity,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita,other_renewables_share_elec,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,gdp,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
,Asia Pacific,1965,,,,,,,,,,,,,,,,,,,,,2780.734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1896.864,,,521.398,,,,,,,,,,,5172.048,,,,,,,,,,,,,,,,,,,,,,
,Asia Pacific,1966,,,,,11.373,59.298,8.987,464.798,,,,,,,,,,,,,2931.515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2185.889,,,580.696,,,,,,,,,,,5636.846,,,,,,,,,,,,,,,,,,,,,,
,Asia Pacific,1967,,,,,6.027,34.999,4.733,266.769,,,,,,,,,,,,,2854.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2547.59,,,615.695,,,,,,,,,,,5903.615,,,,,,,,,,,,,,,,,,,,,,
,Asia Pacific,1968,,,,,17.017,104.773,7.773,458.884,,,,,,,,,,,,,2896.735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2913.306,,,720.468,,,,,,,,,,,6362.499,,,,,,,,,,,,,,,,,,,,,,
,Asia Pacific,1969,,,,,15.11,108.86,13.643,868.023,,,,,,,,,,,,,3250.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3384.457,,,829.329,,,,,,,,,,,7230.522,,,,,,,,,,,,,,,,,,,,,,
,Asia Pacific,1970,,,,,38.279,317.461,13.85,1001.455,,,,,,,,,,,,,3631.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.325,,,151.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,3935.245,,,1146.79,,,,,,,,,,,8231.978,,,,,,,,,,,,,,,,,,,,,,
,Asia Pacific,1971,,,18.27,27.591,20.083,230.314,9.522,783.839,,,,,,,,,,,,,3886.855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.551,,,178.608,,,,,,,,,,,,,,,,,,,,,,,,,,,,4375.889,,,1377.104,,,,,,,,,,,9015.817,,,,,,,,,,,,,,,,,,,,,,
,Asia Pacific,1972,,,16.27,29.06,17.774,244.766,5.919,533.624,,,,,,,,,,,,,4036.594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.415,,,207.668,,,,,,,,,,,,,,,,,,,,,,,,,,,,4712.24,,,1621.87,,,,,,,,,,,9549.441,,,,,,,,,,,,,,,,,,,,,,
,Asia Pacific,1973,,,24.101,50.051,19.395,314.558,8.017,765.57,,,,,,,,,,,,,4134.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.412,,,257.718,,,,,,,,,,,,,,,,,,,,,,,,,,,,5360.956,,,1936.428,,,,,,,,,,,10315.012,,,,,,,,,,,,,,,,,,,,,,
,Asia Pacific,1974,,,21.638,55.764,6.612,128.041,2.149,221.687,,,,,,,,,,,,,4234.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.309,,,313.482,,,,,,,,,,,,,,,,,,,,,,,,,,,,5326.235,,,2064.469,,,,,,,,,,,10536.698,,,,,,,,,,,,,,,,,,,,,,
