,Unnamed: 0,country,gdp,fossil_share_energy,renewables_share_energy,low_carbon_share_energy,nuclear_share_energy,population,energy_per_capita,primary_energy_consumption
0,460,Algeria,252000000000.0,99.95,0.05,0.05,0.0,31042000.0,9662.271,299.936
1,461,Algeria,252000000000.0,99.939,0.061,0.061,0.0,31452000.0,9881.754,310.801
2,462,Algeria,266000000000.0,99.951,0.049,0.049,0.0,31855000.0,10106.442,321.941
3,463,Algeria,289000000000.0,99.786,0.214,0.214,0.0,32264000.0,10441.229,336.876
4,464,Algeria,308000000000.0,99.806,0.194,0.194,0.0,32692000.0,10697.854,349.734
5,465,Algeria,354000000000.0,99.592,0.408,0.408,0.0,33150000.0,11046.017,366.175
6,466,Algeria,386000000000.0,99.847,0.153,0.153,0.0,33641000.0,11271.449,379.183
7,467,Algeria,398000000000.0,99.85,0.15,0.15,0.0,34167000.0,11695.535,399.601
8,468,Algeria,423000000000.0,99.824,0.176,0.176,0.0,34731000.0,12193.979,423.509
9,469,Algeria,392000000000.0,99.8,0.2,0.2,0.0,35334000.0,12701.699,448.802
10,470,Algeria,448000000000.0,99.891,0.109,0.109,0.0,35977000.0,12157.811,437.402
11,471,Algeria,482000000000.0,99.779,0.221,0.221,0.0,36661000.0,12668.024,464.422
12,472,Algeria,493000000000.0,99.789,0.211,0.211,0.0,37384000.0,13578.086,507.603
13,473,Algeria,493000000000.0,99.939,0.061,0.061,0.0,38140000.0,14078.557,536.956
14,474,Algeria,494000000000.0,99.89,0.11,0.11,0.0,38924000.0,15043.984,585.572
15,475,Algeria,513000000000.0,99.909,0.091,0.091,0.0,39728000.0,15542.75,617.482
16,476,Algeria,534000000000.0,99.863,0.137,0.137,0.0,40551000.0,15210.944,616.819
17,477,Algeria,,99.768,0.232,0.232,0.0,41389000.0,15064.678,623.512
18,478,Algeria,,99.73,0.27,0.27,0.0,42228000.0,15915.297,672.071
19,479,Algeria,,99.727,0.273,0.273,0.0,43053000.0,16376.102,705.04
20,780,Argentina,557000000000.0,83.433,14.066,16.567,2.501,36871000.0,18608.827,686.126
21,781,Argentina,525000000000.0,79.819,17.31,20.181,2.871,37276000.0,18203.75,678.563
