iso_code,country,year,coal_share_elec,coal_elec_per_capita,electricity_generation,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_electricity,other_renewable_exc_biofuel_electricity,renewables_electricity,solar_electricity,wind_electricity,energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gas_share_elec,gas_elec_per_capita,hydro_share_elec,hydro_elec_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,oil_share_elec,oil_elec_per_capita,other_renewables_elec_per_capita,other_renewables_share_elec,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,solar_share_elec,solar_elec_per_capita,wind_share_elec,wind_elec_per_capita
ARG,Argentina,1998,2.438,50.134,74.17,0.68,1.808,33.639,28.021,32.422,7.453,3.81,0.464,0.0,32.918,0.0,0.033,18700.103,932.779,45.354,37.779,776.996,43.713,899.032,54.431,40.371,1119.464,5.137,105.648,12.863,0.625,2056.666,36063000.0,674.382,912.798,44.382,0.0,0.0,0.044,0.902
ARG,Argentina,1999,2.608,57.751,80.745,0.68,2.106,46.146,40.209,26.53,7.106,3.831,0.65,0.0,27.215,0.0,0.035,18084.557,1265.418,57.15,49.798,1102.614,32.857,727.509,42.506,34.321,941.161,4.745,105.054,17.837,0.806,2214.186,36467000.0,659.49,746.3,33.705,0.0,0.001,0.043,0.954
ARG,Argentina,2000,2.176,50.311,85.24,0.68,1.855,50.054,45.125,28.486,5.985,3.074,0.68,0.0,29.201,0.0,0.035,18608.827,1357.545,58.721,52.939,1223.864,33.419,772.586,41.279,35.186,954.3,3.606,83.371,18.443,0.798,2311.846,36871000.0,686.126,791.977,34.257,0.0,0.0,0.041,0.949
ARG,Argentina,2001,1.657,38.452,86.501,0.62,1.433,42.638,40.126,36.653,6.541,1.079,0.62,0.0,37.322,0.0,0.049,18203.75,1143.857,49.292,46.387,1076.446,42.373,983.287,50.708,43.863,1176.709,1.248,28.96,16.633,0.717,2320.566,37276000.0,678.563,1001.234,43.146,0.0,0.0,0.057,1.315
ARG,Argentina,2002,1.08,23.269,81.156,0.87,0.877,39.331,37.593,35.492,5.39,0.861,0.87,0.0,36.435,0.0,0.073,17144.248,1043.749,48.463,46.322,997.631,43.733,941.882,51.537,41.825,1109.946,1.061,22.849,23.088,1.072,2153.695,37682000.0,646.03,966.907,44.895,0.0,0.0,0.09,1.937
ARG,Argentina,2003,1.117,25.845,88.146,1.0,0.984,46.563,44.487,33.475,7.03,1.092,1.0,0.0,34.553,0.0,0.078,18196.932,1222.508,52.825,50.47,1168.004,37.977,878.886,47.175,41.583,1091.761,1.238,28.659,26.255,1.134,2314.27,38088000.0,693.085,907.189,39.2,0.0,0.0,0.088,2.048
ARG,Argentina,2004,1.783,44.336,95.691,1.2,1.707,56.97,51.058,30.136,7.313,4.205,1.2,0.0,31.408,0.0,0.072,18965.749,1480.038,59.535,53.357,1326.455,31.493,782.916,40.465,38.721,1005.951,4.395,109.248,31.175,1.254,2485.99,38492000.0,730.03,815.964,32.822,0.0,0.002,0.075,1.871
ARG,Argentina,2005,2.201,57.083,100.865,1.3,2.22,59.456,51.126,33.664,6.37,6.11,1.3,0.0,35.039,0.0,0.075,20017.886,1528.705,58.946,50.687,1314.519,33.375,865.554,41.054,41.409,1064.692,6.058,157.103,33.425,1.289,2593.398,38893000.0,778.556,900.91,34.739,0.0,0.002,0.074,1.928
ARG,Argentina,2006,1.89,53.586,111.412,2.8,2.105,63.818,53.009,37.571,7.153,8.703,2.8,0.0,40.441,0.0,0.07,20819.765,1624.281,57.281,47.579,1349.176,33.723,956.248,42.719,47.594,1211.354,7.812,221.519,71.265,2.513,2835.635,39290000.0,818.009,1029.297,36.299,0.0,0.002,0.063,1.782
ARG,Argentina,2007,2.249,62.845,110.869,2.76,2.494,71.263,56.72,30.063,6.722,12.049,2.76,0.0,32.884,0.0,0.061,21522.762,1795.762,64.277,51.16,1429.295,27.116,757.56,35.723,39.606,998.037,10.868,303.622,69.549,2.489,2793.799,39684000.0,854.109,828.649,29.66,0.0,0.003,0.055,1.537
