country,population,low_carbon_share_elec,fossil_share_elec,renewables_share_elec,nuclear_share_elec,fossil_cons_per_capita,per_capita_electricity,continente,iso_code,fossil_percentage,nuclear_percentage,renewables_percentage
Afghanistan,34.24733333333333,83.54344444444445,16.456555555555557,83.54344444444445,0.0,5.1561111111111115,31.813000000000002,Asia,AFG,0.12465840588145832,0.0,1.3104072976363177
Albania,2.896444444444444,99.85144444444444,0.14855555555555555,99.85144444444444,0.0,2.1038888888888887,1998.4319999999998,Europa,ALB,0.0011253083111999254,0.0,1.5662038158665899
Algeria,39.78422222222222,0.7663333333333333,99.23366666666666,0.7663333333333333,0.0,1568.1033333333335,1580.1572222222223,África,DZA,0.7516950102150988,0.0,0.012020198581706235
American Samoa,0.05577777777777778,0.0,100.0,0.0,0.0,2888.7443333333335,2888.7443333333335,Oceanía,ASM,0.7574999851009222,0.0,0.0
Angola,27.940555555555555,65.67355555555555,34.32644444444444,65.67355555555555,0.0,110.65,326.0078888888889,África,AGO,0.26002281155234297,0.0,1.0301120217631508
Antigua and Barbuda,0.09344444444444444,1.572,98.428,1.572,0.0,3415.806888888889,3470.763111111111,Norteamérica,ATG,0.7455920853351357,0.0,0.024657353854426536
Argentina,43.06344444444445,29.9663,70.0337,24.9565,5.0098,2166.5081999999998,3092.0546999999997,Sudamérica,ARG,0.5305052670656245,0.6926304754613376,0.39145117777862326
Armenia,2.920888888888889,61.522333333333336,38.477666666666664,31.018000000000004,30.504444444444445,962.8684444444445,2498.7833333333333,Asia,ARM,0.29146831926718253,4.217395476713545,0.4865278637764646
Aruba,0.10422222222222222,16.076999999999998,83.923,16.076999999999998,0.0,7390.892444444446,8805.611222222222,Norteamérica,ABW,0.635716712496247,0.0,0.25217320478219807
Australia,23.90822222222222,16.1249,83.8751,16.1249,0.0,8471.3554,10092.2916,Oceanía,AUS,0.6353538700033836,0.0,0.25292453254913644
Austria,8.690999999999999,76.4209,23.5791,76.4209,0.0,1778.6686999999997,7540.0496,Europa,AUT,0.17861167898693156,0.0,1.1986877691944942
Azerbaijan,9.611555555555556,8.4712,91.5288,8.4712,0.0,2180.4188999999997,2380.2042,Asia,AZE,0.6933306463630529,0.0,0.13287364883690717
Bahamas,0.37455555555555553,0.10388888888888889,99.89611111111111,0.10388888888888889,0.0,4955.024666666667,4960.142555555555,Norteamérica,BHS,0.7567130267830674,0.0,0.0016295325031021215
Bahrain,1.4145555555555556,0.025777777777777778,99.97422222222222,0.025777777777777778,0.0,18337.90088888889,18342.632777777777,Asia,BHR,0.7573047184380962,0.0,0.00040433319863068676
Bangladesh,156.21088355555557,1.7922,98.20779999999999,1.7922,0.0,381.5307,388.3824,Asia,BGD,0.7439240703679434,0.0,0.0281112656347985
Barbados,0.2852222222222222,1.8823333333333332,98.11766666666666,1.8823333333333332,0.0,3443.0034444444445,3509.143555555556,Norteamérica,BRB,0.7432413103813724,0.0,0.02952503757759683
Belarus,9.436444444444444,1.5657999999999999,98.4342,1.5657999999999999,0.0,3418.4892,3475.0667000000003,Europa,BLR,0.745639050334212,0.0,0.02456010474889381
Belgium,11.28411111111111,64.9044,35.095600000000005,18.0854,46.819,2502.6767,7162.171700000001,Europa,BEL,0.2658491647710793,6.472966232309547,0.28367564083896035
Belize,0.3605555555555556,96.514,3.4859999999999998,96.514,0.0,36.427,1044.2871111111112,Norteamérica,BLZ,0.026406449480618148,0.0,1.5138548663524953
Benin,10.599,2.7984444444444443,97.20155555555556,2.7984444444444443,0.0,16.970444444444446,17.418111111111113,África,BEN,0.7363017688511979,0.0,0.04389455146858826
Bermuda,0.06377777777777778,0.0,100.0,0.0,0.0,9883.248444444445,9883.248444444445,Norteamérica,BMU,0.7574999851009222,0.0,0.0
Bhutan,0.728,99.99466666666666,0.005333333333333333,99.99466666666666,0.0,0.5341111111111112,9956.359888888888,Asia,BTN,4.0399999205382515e-05,0.0,1.568450305060706
Bolivia,10.866777777777777,31.720999999999997,68.279,31.720999999999997,0.0,529.8247,775.3887000000001,Sudamérica,BOL,0.5172134148270586,0.0,0.49755465751670747
Bosnia and Herzegovina,3.4536666666666664,34.230000000000004,65.77000000000001,34.230000000000004,0.0,3028.456,4615.421,Europa,BIH,0.4982077402008766,0.0,0.5369091745782573
Botswana,2.1390000000000002,0.165,99.835,0.165,0.0,915.9156666666667,917.3912222222223,África,BWA,0.7562501101255057,0.0,0.0025880810343386633
Brazil,204.3988906666667,83.5328,16.4672,80.964,2.5686,460.6263,2791.1204,Sudamérica,BRA,0.12473903754653905,0.35512208856042,1.2699478355405789
British Virgin Islands,0.029222222222222222,1.0435555555555556,98.95644444444444,1.0435555555555556,0.0,5487.337888888888,5537.632333333333,Norteamérica,VGB,0.749595051923069,0.0,0.01636852328249746
Brunei,0.4142222222222222,0.041666666666666664,99.95833333333333,0.041666666666666664,0.0,9529.411666666667,9533.415888888889,Asia,BRN,0.7571843601071301,0.0,0.0006535558167521877
Bulgaria,7.194999999999999,50.1946,49.8054,15.3273,34.867399999999996,3169.4013,6346.6296999999995,Europa,BGR,0.3772758975794547,4.820596399077936,0.24041390568253934
Burkina Faso,18.148222222222223,15.253888888888888,84.74611111111112,15.253888888888888,0.0,41.15822222222222,48.46711111111111,África,BFA,0.6419517790402777,0.0,0.23926242747419757
Burundi,10.196555555555555,80.43233333333335,19.567666666666668,80.43233333333335,0.0,4.397777777777778,20.438333333333333,África,BDI,0.14822507208459812,0.0,1.2616084633188211
Cambodia,15.517222222222223,46.68411111111111,53.31588888888889,46.68411111111111,0.0,134.38844444444445,272.6222222222222,Asia,KHM,0.4038678503897576,0.0,0.7322561367977304
Cameroon,23.337,66.47200000000001,33.528,66.47200000000001,0.0,103.06644444444444,301.95955555555554,África,CMR,0.2539745950046372,0.0,1.0426358940276341
Canada,36.00555555555556,81.0555,18.944499999999998,66.18379999999999,14.8717,3324.2392999999997,17523.4622,Norteamérica,CAN,0.14350458467744417,2.0560885947379886,1.0381153791543225
Cayman Islands,0.06166666666666666,0.8367777777777778,99.16322222222223,0.8367777777777778,0.0,10142.47,10230.422444444444,Norteamérica,CYM,0.7511613935589277,0.0,0.013125143615895268
Central African Republic,4.533888888888889,96.28844444444445,3.711555555555556,96.28844444444445,0.0,1.4253333333333333,35.50244444444444,África,CAF,0.028115032780345786,0.0,1.510316950864477
